name_unoriented,linking_matrix,determinant,matrix_zero,determinant_is_zero,matrix_and_determinant_both_zero
L2a1,"{{0, -1}, {-1, 0}}",2,False,False,False
L2a1,"{{0, 1}, {1, 0}}",2,False,False,False
L4a1,"{{0, -2}, {-2, 0}}",4,False,False,False
L4a1,"{{0, 2}, {2, 0}}",4,False,False,False
L5a1,"{{0, 0}, {0, 0}}",8,True,False,False
L6a1,"{{0, -2}, {-2, 0}}",12,False,False,False
L6a1,"{{0, 2}, {2, 0}}",12,False,False,False
L6a2,"{{0, -3}, {-3, 0}}",10,False,False,False
L6a2,"{{0, 3}, {3, 0}}",10,False,False,False
L6a3,"{{0, -3}, {-3, 0}}",6,False,False,False
L6a3,"{{0, 3}, {3, 0}}",6,False,False,False
L6a4,"{{0, 0, 0}, {0, 0, 0}, {0, 0, 0}}",16,True,False,False
L6a5,"{{0, -1, -1}, {-1, 0, -1}, {-1, -1, 0}}",12,False,False,False
L6a5,"{{0, 1, -1}, {1, 0, 1}, {-1, 1, 0}}",12,False,False,False
L6a5,"{{0, -1, 1}, {-1, 0, 1}, {1, 1, 0}}",12,False,False,False
L6a5,"{{0, 1, 1}, {1, 0, -1}, {1, -1, 0}}",12,False,False,False
L6n1,"{{0, -1, 1}, {-1, 0, 1}, {1, 1, 0}}",4,False,False,False
L6n1,"{{0, 1, 1}, {1, 0, -1}, {1, -1, 0}}",4,False,False,False
L6n1,"{{0, -1, -1}, {-1, 0, -1}, {-1, -1, 0}}",4,False,False,False
L6n1,"{{0, 1, -1}, {1, 0, 1}, {-1, 1, 0}}",4,False,False,False
L7a1,"{{0, 0}, {0, 0}}",24,True,False,False
L7a2,"{{0, -2}, {-2, 0}}",20,False,False,False
L7a2,"{{0, 2}, {2, 0}}",20,False,False,False
L7a3,"{{0, 0}, {0, 0}}",16,True,False,False
L7a4,"{{0, 0}, {0, 0}}",16,True,False,False
L7a5,"{{0, -1}, {-1, 0}}",18,False,False,False
L7a5,"{{0, 1}, {1, 0}}",18,False,False,False
L7a6,"{{0, 1}, {1, 0}}",14,False,False,False
L7a6,"{{0, -1}, {-1, 0}}",14,False,False,False
L7a7,"{{0, -1, -1}, {-1, 0, 1}, {-1, 1, 0}}",20,False,False,False
L7a7,"{{0, 1, -1}, {1, 0, -1}, {-1, -1, 0}}",20,False,False,False
L7a7,"{{0, -1, 1}, {-1, 0, -1}, {1, -1, 0}}",20,False,False,False
L7a7,"{{0, 1, 1}, {1, 0, 1}, {1, 1, 0}}",20,False,False,False
L7n1,"{{0, -2}, {-2, 0}}",4,False,False,False
L7n1,"{{0, 2}, {2, 0}}",4,False,False,False
L7n2,"{{0, 0}, {0, 0}}",8,True,False,False
L8a1,"{{0, 0}, {0, 0}}",40,True,False,False
L8a2,"{{0, 0}, {0, 0}}",32,True,False,False
L8a3,"{{0, -2}, {-2, 0}}",28,False,False,False
L8a3,"{{0, 2}, {2, 0}}",28,False,False,False
L8a4,"{{0, 0}, {0, 0}}",32,True,False,False
L8a5,"{{0, -2}, {-2, 0}}",28,False,False,False
L8a5,"{{0, 2}, {2, 0}}",28,False,False,False
L8a6,"{{0, -2}, {-2, 0}}",20,False,False,False
L8a6,"{{0, 2}, {2, 0}}",20,False,False,False
L8a7,"{{0, -2}, {-2, 0}}",36,False,False,False
L8a7,"{{0, 2}, {2, 0}}",36,False,False,False
L8a8,"{{0, -1}, {-1, 0}}",30,False,False,False
L8a8,"{{0, 1}, {1, 0}}",30,False,False,False
L8a9,"{{0, -1}, {-1, 0}}",34,False,False,False
L8a9,"{{0, 1}, {1, 0}}",34,False,False,False
L8a10,"{{0, -3}, {-3, 0}}",26,False,False,False
L8a10,"{{0, 3}, {3, 0}}",26,False,False,False
L8a11,"{{0, -3}, {-3, 0}}",22,False,False,False
L8a11,"{{0, 3}, {3, 0}}",22,False,False,False
L8a12,"{{0, -4}, {-4, 0}}",16,False,False,False
L8a12,"{{0, 4}, {4, 0}}",16,False,False,False
L8a13,"{{0, -4}, {-4, 0}}",24,False,False,False
L8a13,"{{0, 4}, {4, 0}}",24,False,False,False
L8a14,"{{0, -4}, {-4, 0}}",8,False,False,False
L8a14,"{{0, 4}, {4, 0}}",8,False,False,False
L8a15,"{{0, -1, -1}, {-1, 0, -1}, {-1, -1, 0}}",28,False,False,False
L8a15,"{{0, 1, -1}, {1, 0, 1}, {-1, 1, 0}}",28,False,False,False
L8a15,"{{0, -1, 1}, {-1, 0, 1}, {1, 1, 0}}",28,False,False,False
L8a15,"{{0, 1, 1}, {1, 0, -1}, {1, -1, 0}}",28,False,False,False
L8a16,"{{0, 0, 0}, {0, 0, 1}, {0, 1, 0}}",32,False,False,False
L8a16,"{{0, 0, 0}, {0, 0, -1}, {0, -1, 0}}",32,False,False,False
L8a17,"{{0, -1, -1}, {-1, 0, -2}, {-1, -2, 0}}",28,False,False,False
L8a17,"{{0, 1, -1}, {1, 0, 2}, {-1, 2, 0}}",28,False,False,False
L8a17,"{{0, -1, 1}, {-1, 0, 2}, {1, 2, 0}}",28,False,False,False
L8a17,"{{0, 1, 1}, {1, 0, -2}, {1, -2, 0}}",28,False,False,False
L8a18,"{{0, -1, 1}, {-1, 0, 2}, {1, 2, 0}}",20,False,False,False
L8a18,"{{0, 1, 1}, {1, 0, -2}, {1, -2, 0}}",20,False,False,False
L8a18,"{{0, -1, -1}, {-1, 0, -2}, {-1, -2, 0}}",20,False,False,False
L8a18,"{{0, 1, -1}, {1, 0, 2}, {-1, 2, 0}}",20,False,False,False
L8a19,"{{0, -1, 1}, {-1, 0, 0}, {1, 0, 0}}",36,False,False,False
