,name_unoriented,matrix_zero
0,L2a1,False
2,L4a1,False
4,L5a1,True
6,L6a1,False
8,L6a2,False
10,L6a3,False
12,L6a4,True
16,L6a5,False
20,L6n1,False
24,L7a1,True
26,L7a2,False
28,L7a3,True
30,L7a4,True
32,L7a5,False
34,L7a6,False
36,L7a7,False
40,L7n1,False
42,L7n2,True
44,L8a1,True
46,L8a2,True
48,L8a3,False
50,L8a4,True
52,L8a5,False
54,L8a6,False
56,L8a7,False
58,L8a8,False
60,L8a9,False
62,L8a10,False
64,L8a11,False
66,L8a12,False
68,L8a13,False
70,L8a14,False
72,L8a15,False
76,L8a16,False
80,L8a17,False
84,L8a18,False
88,L8a19,False
92,L8a20,False
96,L8a21,False
104,L8n1,False
106,L8n2,True
108,L8n3,False
112,L8n4,False
116,L8n5,False
120,L8n6,False
124,L8n7,False
132,L8n8,False
140,L9a1,True
142,L9a2,True
144,L9a3,True
146,L9a4,True
148,L9a5,False
150,L9a6,False
152,L9a7,False
154,L9a8,True
156,L9a9,True
158,L9a10,True
160,L9a11,False
162,L9a12,False
164,L9a13,False
166,L9a14,True
168,L9a15,True
170,L9a16,False
172,L9a17,True
174,L9a18,True
176,L9a19,False
178,L9a20,False
180,L9a21,False
182,L9a22,False
184,L9a23,False
186,L9a24,False
188,L9a25,False
190,L9a26,False
192,L9a27,False
194,L9a28,False
196,L9a29,False
198,L9a30,False
200,L9a31,False
202,L9a32,False
204,L9a33,False
206,L9a34,False
208,L9a35,True
210,L9a36,False
212,L9a37,False
214,L9a38,True
216,L9a39,False
218,L9a40,True
220,L9a41,False
222,L9a42,True
224,L9a43,False
228,L9a44,False
232,L9a45,False
236,L9a46,False
240,L9a47,False
244,L9a48,False
248,L9a49,False
252,L9a50,False
256,L9a51,False
260,L9a52,False
264,L9a53,True
268,L9a54,True
272,L9a55,False
280,L9n1,False
282,L9n2,True
284,L9n3,True
286,L9n4,False
288,L9n5,True
290,L9n6,True
292,L9n7,False
294,L9n8,True
296,L9n9,False
298,L9n10,False
300,L9n11,False
302,L9n12,False
304,L9n13,False
306,L9n14,False
308,L9n15,False
310,L9n16,False
312,L9n17,False
314,L9n18,False
316,L9n19,False
318,L9n20,False
322,L9n21,False
326,L9n22,False
330,L9n23,False
334,L9n24,False
338,L9n25,True
342,L9n26,False
346,L9n27,True
350,L9n28,False
354,L10a1,True
356,L10a2,True
358,L10a3,True
360,L10a4,True
362,L10a5,True
364,L10a6,True
366,L10a7,True
368,L10a8,True
370,L10a9,True
372,L10a10,True
374,L10a11,False
376,L10a12,False
