name_unoriented,determinant,num_crossings,matrix_zero,components,jones_factorable,jones_determinant,mod32_equivalent,fox_milnor_test,known_ribbon
L12n84,0,12,True,2,True,-23,True,True,True
L12n399,0,12,True,2,True,-71,True,True,True
L12n418,0,12,True,2,True,-71,True,True,True
L12n520,0,12,True,2,True,-71,True,True,True
L12n529,0,12,True,2,True,-71,True,True,True
L12n817,0,12,True,2,True,-95,True,True,False
L12n910,0,12,True,2,True,-95,True,True,True
L12n1180,0,12,True,2,True,-63,True,True,True
L12n1181,0,12,True,2,True,-63,True,True,True
L12n1327,0,12,True,2,True,-63,True,True,True
L13n118,0,13,True,2,True,-23,True,True,True
L13n754,0,13,True,2,True,-119,True,True,True
L13n759,0,13,True,2,True,-119,True,True,True
L13n760,0,13,True,2,True,-119,True,True,True
L13n1488,0,13,True,2,True,-143,True,True,True
L13n1494,0,13,True,2,True,-143,True,True,True
L13n1704,0,13,True,2,True,-143,True,True,True
L13n1707,0,13,True,2,True,-143,True,True,True
L13n2407,0,13,True,2,True,-119,True,True,False
L13n3056,0,13,True,2,True,-95,True,True,True
L13n6537,0,13,True,2,True,-95,True,True,False
L14n756,0,14,True,2,True,-71,True,True,True
L14n1004,0,14,True,2,True,-23,True,True,True
L14n1449,0,14,True,2,True,-71,True,True,True
L14n1639,0,14,True,2,True,-71,True,True,True
L14n6154,0,14,True,2,True,-239,True,True,True
L14n6168,0,14,True,2,True,-71,True,True,True
L14n6558,0,14,True,2,True,-167,True,True,True
L14n6620,0,14,True,2,True,-95,True,True,True
L14n6789,0,14,True,2,True,-95,True,True,True
L14n6832,0,14,True,2,True,-71,True,True,True
L14n7118,0,14,True,2,True,-239,True,True,True
L14n7239,0,14,True,2,True,-143,True,True,True
L14n7360,0,14,True,2,True,-71,True,True,True
L14n7392,0,14,True,2,True,-143,True,True,True
L14n7407,0,14,True,2,True,-239,True,True,True
L14n8183,0,14,True,2,True,-239,True,True,True
L14n8537,0,14,True,2,True,-143,True,True,True
L14n8543,0,14,True,2,True,-239,True,True,True
L14n8736,0,14,True,2,True,-143,True,True,True
L14n8793,0,14,True,2,True,-239,True,True,True
L14n8803,0,14,True,2,True,-167,True,True,True
L14n8810,0,14,True,2,True,1,True,True,True
L14n8835,0,14,True,2,True,-239,True,True,True
L14n9080,0,14,True,2,True,-207,True,True,False
L14n9115,0,14,True,2,True,-207,True,True,True
L14n12145,0,14,True,2,True,-143,True,True,True
L14n12414,0,14,True,2,True,-71,True,True,True
L14n12504,0,14,True,2,True,-143,True,True,True
L14n12538,0,14,True,2,True,-143,True,True,True
L14n12589,0,14,True,2,True,-71,True,True,True
L14n12598,0,14,True,2,True,-143,True,True,True
L14n12691,0,14,True,2,True,-167,True,True,False
L14n12729,0,14,True,2,True,-239,True,True,False
L14n12796,0,14,True,2,True,-167,True,True,False
L14n12805,0,14,True,2,True,-95,True,True,False
L14n12876,0,14,True,2,True,-95,True,True,False
L14n12883,0,14,True,2,True,-119,True,True,False
L14n17869,0,14,True,2,True,-95,True,True,True
L14n18026,0,14,True,2,True,-287,True,True,False
L14n19768,0,14,True,2,True,-287,True,True,True
L14n23729,0,14,True,2,True,-279,True,True,True
L14n28013,0,14,True,2,True,-63,True,True,True
L14n28016,0,14,True,2,True,-63,True,True,True
L14n28630,0,14,True,2,True,-119,True,True,True
L14n28631,0,14,True,2,True,-119,True,True,True
L14n28635,0,14,True,2,True,-119,True,True,True
L14n29289,0,14,True,2,True,-351,True,True,True
L14n30011,0,14,True,2,True,-191,True,True,True
L14n30012,0,14,True,2,True,-191,True,True,True
L14n30097,0,14,True,2,True,-215,True,True,True
L14n30103,0,14,True,2,True,-215,True,True,False
L14n30107,0,14,True,2,True,-215,True,True,False
L14n30116,0,14,True,2,True,-191,True,True,False
L14n30250,0,14,True,2,True,-215,True,True,True
L14n30442,0,14,True,2,True,-215,True,True,True
L14n30755,0,14,True,2,True,9,True,True,False
L14n33395,0,14,True,2,True,-191,True,True,True
L14n33400,0,14,True,2,True,-191,True,True,True
L14n33764,0,14,True,2,True,-191,True,True,True
L14n33772,0,14,True,2,True,-191,True,True,True
L14n34637,0,14,True,2,True,-191,True,True,True
L14n37692,0,14,True,2,True,-159,True,True,False
L14n38362,0,14,True,2,True,-95,True,True,True
L14n38364,0,14,True,2,True,-287,True,True,True
L14n38409,0,14,True,2,True,-287,True,True,True
L14n38410,0,14,True,2,True,-287,True,True,False
L14n52847,0,14,True,3,True,73,True,True,False
L14n52922,0,14,True,3,True,73,True,True,False
L14n52934,0,14,True,3,True,73,True,True,False
L14n53120,0,14,True,3,True,73,True,True,False
L14n53143,0,14,True,3,True,73,True,True,False
