,name_unoriented,determinant,num_crossings,matrix_zero,components,jones_factorable,jones_determinant,smooth_four_genus
L12n84,L12n84,0,12,True,2,True,-23,
L12n399,L12n399,0,12,True,2,True,-71,
L12n418,L12n418,0,12,True,2,True,-71,
L12n467,L12n467,0,12,True,2,True,69,
L12n508,L12n508,0,12,True,2,True,69,
L12n520,L12n520,0,12,True,2,True,-71,
L12n529,L12n529,0,12,True,2,True,-71,
L12n544,L12n544,0,12,True,2,True,-43,
L12n545,L12n545,0,12,True,2,True,45,
L12n564,L12n564,0,12,True,2,True,45,
L12n817,L12n817,0,12,True,2,True,-95,
L12n910,L12n910,0,12,True,2,True,-95,
L12n1040,L12n1040,0,12,True,2,True,21,
L12n1095,L12n1095,0,12,True,2,True,-11,
L12n1109,L12n1109,0,12,True,2,True,-47,
L12n1180,L12n1180,0,12,True,2,True,-63,
L12n1181,L12n1181,0,12,True,2,True,-63,
L12n1199,L12n1199,0,12,True,2,True,-35,
L12n1200,L12n1200,0,12,True,2,True,33,
L12n1201,L12n1201,0,12,True,2,True,29,
L12n1202,L12n1202,0,12,True,2,True,-31,
L12n1242,L12n1242,0,12,True,2,True,-35,
L12n1249,L12n1249,0,12,True,2,True,-19,
L12n1252,L12n1252,0,12,True,2,True,13,
L12n1257,L12n1257,0,12,True,2,True,29,
L12n1272,L12n1272,0,12,True,2,True,49,
L12n1273,L12n1273,0,12,True,2,True,-47,
L12n1299,L12n1299,0,12,True,2,True,-47,
L12n1300,L12n1300,0,12,True,2,True,49,
L12n1327,L12n1327,0,12,True,2,True,-63,
L12n1333,L12n1333,0,12,True,2,True,-71,
L12n1375,L12n1375,0,12,True,2,True,-95,
L13n118,L13n118,0,13,True,2,True,-23,
L13n754,L13n754,0,13,True,2,True,-119,
L13n759,L13n759,0,13,True,2,True,-119,
L13n760,L13n760,0,13,True,2,True,-119,
L13n1091,L13n1091,0,13,True,2,True,-119,
L13n1488,L13n1488,0,13,True,2,True,-143,
L13n1494,L13n1494,0,13,True,2,True,-143,
L13n1627,L13n1627,0,13,True,2,True,-115,
L13n1704,L13n1704,0,13,True,2,True,-143,
L13n1707,L13n1707,0,13,True,2,True,-143,
L13n1806,L13n1806,0,13,True,2,True,-115,
L13n1999,L13n1999,0,13,True,2,True,-115,
L13n2010,L13n2010,0,13,True,2,True,-115,
L13n2040,L13n2040,0,13,True,2,True,89,
L13n2050,L13n2050,0,13,True,2,True,-87,
L13n2061,L13n2061,0,13,True,2,True,117,
L13n2150,L13n2150,0,13,True,2,True,89,
L13n2151,L13n2151,0,13,True,2,True,-87,
L13n2360,L13n2360,0,13,True,2,True,117,
L13n2407,L13n2407,0,13,True,2,True,-119,
L13n2421,L13n2421,0,13,True,2,True,-87,
L13n2430,L13n2430,0,13,True,2,True,-87,
L13n2490,L13n2490,0,13,True,2,True,117,
L13n2538,L13n2538,0,13,True,2,True,-163,
L13n3056,L13n3056,0,13,True,2,True,-95,
L13n4518,L13n4518,0,13,True,2,True,-23,
L13n4524,L13n4524,0,13,True,2,True,9,
L13n4821,L13n4821,0,13,True,2,True,-95,
L13n4994,L13n4994,0,13,True,2,True,37,
L13n4999,L13n4999,0,13,True,2,True,-39,
L13n5076,L13n5076,0,13,True,2,True,53,
L13n5153,L13n5153,0,13,True,2,True,-27,
L13n5154,L13n5154,0,13,True,2,True,25,
L13n5227,L13n5227,0,13,True,2,True,-115,
L13n5255,L13n5255,0,13,True,2,True,-55,
L13n5314,L13n5314,0,13,True,2,True,-43,
L13n5341,L13n5341,0,13,True,2,True,81,
L13n5365,L13n5365,0,13,True,2,True,41,
L13n5426,L13n5426,0,13,True,2,True,69,
L13n5427,L13n5427,0,13,True,2,True,-67,
L13n5443,L13n5443,0,13,True,2,True,-59,
L13n5444,L13n5444,0,13,True,2,True,61,
L13n5538,L13n5538,0,13,True,2,True,117,
L13n5556,L13n5556,0,13,True,2,True,37,
L13n5584,L13n5584,0,13,True,2,True,53,
L13n5588,L13n5588,0,13,True,2,True,-43,
L13n5616,L13n5616,0,13,True,2,True,-27,
L13n5626,L13n5626,0,13,True,2,True,-59,
L13n5630,L13n5630,0,13,True,2,True,-83,
L13n5631,L13n5631,0,13,True,2,True,77,
L13n5633,L13n5633,0,13,True,2,True,61,
L13n5636,L13n5636,0,13,True,2,True,-67,
L13n5639,L13n5639,0,13,True,2,True,65,
L13n5686,L13n5686,0,13,True,2,True,61,
L13n5689,L13n5689,0,13,True,2,True,-63,
L13n5772,L13n5772,0,13,True,2,True,81,
L13n5773,L13n5773,0,13,True,2,True,-79,
L13n6355,L13n6355,0,13,True,2,True,61,
L13n6360,L13n6360,0,13,True,2,True,-63,
L13n6376,L13n6376,0,13,True,2,True,-51,
L13n6378,L13n6378,0,13,True,2,True,45,
L13n6435,L13n6435,0,13,True,2,True,77,
L13n6535,L13n6535,0,13,True,2,True,97,
L13n6537,L13n6537,0,13,True,2,True,-95,
L14n435,L14n435,0,14,True,2,True,45,
L14n436,L14n436,0,14,True,2,True,-43,
L14n702,L14n702,0,14,True,2,True,69,
L14n756,L14n756,0,14,True,2,True,-71,
L14n771,L14n771,0,14,True,2,True,69,
L14n1004,L14n1004,0,14,True,2,True,-23,
L14n1449,L14n1449,0,14,True,2,True,-71,
L14n1619,L14n1619,0,14,True,2,True,-43,
L14n1621,L14n1621,0,14,True,2,True,45,
L14n1639,L14n1639,0,14,True,2,True,-71,
L14n6154,L14n6154,0,14,True,2,True,-239,
L14n6168,L14n6168,0,14,True,2,True,-71,
L14n6507,L14n6507,0,14,True,2,True,213,
L14n6558,L14n6558,0,14,True,2,True,-167,
L14n6620,L14n6620,0,14,True,2,True,-95,
L14n6789,L14n6789,0,14,True,2,True,-95,
L14n6832,L14n6832,0,14,True,2,True,-71,
L14n6985,L14n6985,0,14,True,2,True,213,
L14n7118,L14n7118,0,14,True,2,True,-239,
L14n7191,L14n7191,0,14,True,2,True,161,
L14n7239,L14n7239,0,14,True,2,True,-143,
L14n7259,L14n7259,0,14,True,2,True,213,
L14n7360,L14n7360,0,14,True,2,True,-71,
L14n7392,L14n7392,0,14,True,2,True,-143,
L14n7407,L14n7407,0,14,True,2,True,-239,
L14n7993,L14n7993,0,14,True,2,True,161,
L14n7998,L14n7998,0,14,True,2,True,-115,
L14n8002,L14n8002,0,14,True,2,True,161,
L14n8183,L14n8183,0,14,True,2,True,-239,
L14n8455,L14n8455,0,14,True,2,True,-115,
L14n8458,L14n8458,0,14,True,2,True,161,
L14n8537,L14n8537,0,14,True,2,True,-143,
L14n8543,L14n8543,0,14,True,2,True,-239,
L14n8637,L14n8637,0,14,True,2,True,213,
L14n8692,L14n8692,0,14,True,2,True,213,
L14n8736,L14n8736,0,14,True,2,True,-143,
L14n8789,L14n8789,0,14,True,2,True,213,
L14n8793,L14n8793,0,14,True,2,True,-239,
L14n8803,L14n8803,0,14,True,2,True,-167,
L14n8810,L14n8810,0,14,True,2,True,1,
L14n8835,L14n8835,0,14,True,2,True,-239,
L14n9056,L14n9056,0,14,True,2,True,213,
L14n9059,L14n9059,0,14,True,2,True,213,
L14n9080,L14n9080,0,14,True,2,True,-207,
L14n9085,L14n9085,0,14,True,2,True,161,
L14n9115,L14n9115,0,14,True,2,True,-207,
L14n9117,L14n9117,0,14,True,2,True,161,
L14n9123,L14n9123,0,14,True,2,True,213,
L14n9128,L14n9128,0,14,True,2,True,213,
L14n9145,L14n9145,0,14,True,2,True,-115,
L14n9152,L14n9152,0,14,True,2,True,-115,
L14n9156,L14n9156,0,14,True,2,True,161,
L14n9177,L14n9177,0,14,True,2,True,161,
L14n9268,L14n9268,0,14,True,2,True,-47,
L14n9282,L14n9282,0,14,True,2,True,41,
L14n9290,L14n9290,0,14,True,2,True,-91,
L14n9333,L14n9333,0,14,True,2,True,85,
L14n9390,L14n9390,0,14,True,2,True,-71,
L14n9415,L14n9415,0,14,True,2,True,-131,
L14n9416,L14n9416,0,14,True,2,True,133,
L14n9446,L14n9446,0,14,True,2,True,-71,
L14n9635,L14n9635,0,14,True,2,True,-211,
L14n9752,L14n9752,0,14,True,2,True,117,
L14n9876,L14n9876,0,14,True,2,True,-91,
L14n9883,L14n9883,0,14,True,2,True,85,
L14n10047,L14n10047,0,14,True,2,True,-47,
L14n10048,L14n10048,0,14,True,2,True,41,
L14n10052,L14n10052,0,14,True,2,True,133,
L14n10053,L14n10053,0,14,True,2,True,-131,
L14n10461,L14n10461,0,14,True,2,True,-119,
L14n11107,L14n11107,0,14,True,2,True,-211,
L14n11214,L14n11214,0,14,True,2,True,-119,
L14n11315,L14n11315,0,14,True,2,True,117,
L14n11478,L14n11478,0,14,True,2,True,129,
L14n11479,L14n11479,0,14,True,2,True,-135,
L14n11488,L14n11488,0,14,True,2,True,-135,
L14n11489,L14n11489,0,14,True,2,True,129,
L14n11685,L14n11685,0,14,True,2,True,177,
L14n11785,L14n11785,0,14,True,2,True,-175,
L14n11815,L14n11815,0,14,True,2,True,-131,
L14n11816,L14n11816,0,14,True,2,True,-175,
L14n11817,L14n11817,0,14,True,2,True,177,
L14n11855,L14n11855,0,14,True,2,True,-131,
L14n11991,L14n11991,0,14,True,2,True,-175,
L14n12024,L14n12024,0,14,True,2,True,-175,
L14n12116,L14n12116,0,14,True,2,True,257,
L14n12131,L14n12131,0,14,True,2,True,117,
L14n12145,L14n12145,0,14,True,2,True,-143,
L14n12364,L14n12364,0,14,True,2,True,-303,
L14n12414,L14n12414,0,14,True,2,True,-71,
L14n12504,L14n12504,0,14,True,2,True,-143,
L14n12538,L14n12538,0,14,True,2,True,-143,
L14n12562,L14n12562,0,14,True,2,True,-303,
L14n12589,L14n12589,0,14,True,2,True,-71,
L14n12598,L14n12598,0,14,True,2,True,-143,
L14n12612,L14n12612,0,14,True,2,True,257,
L14n12691,L14n12691,0,14,True,2,True,-167,
L14n12729,L14n12729,0,14,True,2,True,-239,
L14n12796,L14n12796,0,14,True,2,True,-167,
L14n12805,L14n12805,0,14,True,2,True,-95,
L14n12876,L14n12876,0,14,True,2,True,-95,
L14n12883,L14n12883,0,14,True,2,True,-119,
L14n17869,L14n17869,0,14,True,2,True,-95,
L14n18026,L14n18026,0,14,True,2,True,-287,
L14n19768,L14n19768,0,14,True,2,True,-287,
L14n23729,L14n23729,0,14,True,2,True,-279,
L14n23784,L14n23784,0,14,True,2,True,-71,
L14n24046,L14n24046,0,14,True,2,True,69,
L14n24426,L14n24426,0,14,True,2,True,-7,
L14n24427,L14n24427,0,14,True,2,True,25,
L14n24461,L14n24461,0,14,True,2,True,-67,
L14n24652,L14n24652,0,14,True,2,True,93,
L14n24914,L14n24914,0,14,True,2,True,45,
L14n24991,L14n24991,0,14,True,2,True,61,
L14n24998,L14n24998,0,14,True,2,True,-59,
L14n25064,L14n25064,0,14,True,2,True,-43,
L14n25069,L14n25069,0,14,True,2,True,41,
L14n25100,L14n25100,0,14,True,2,True,-43,
L14n25175,L14n25175,0,14,True,2,True,69,
L14n25286,L14n25286,0,14,True,2,True,-71,
L14n26023,L14n26023,0,14,True,2,True,253,
L14n26057,L14n26057,0,14,True,2,True,93,
L14n26105,L14n26105,0,14,True,2,True,137,
L14n26107,L14n26107,0,14,True,2,True,-139,
L14n26149,L14n26149,0,14,True,2,True,109,
L14n26235,L14n26235,0,14,True,2,True,21,
L14n26236,L14n26236,0,14,True,2,True,-23,
L14n26301,L14n26301,0,14,True,2,True,-107,
L14n26677,L14n26677,0,14,True,2,True,-159,
L14n26700,L14n26700,0,14,True,2,True,-107,
L14n26908,L14n26908,0,14,True,2,True,-95,
L14n27259,L14n27259,0,14,True,2,True,-35,
L14n27263,L14n27263,0,14,True,2,True,37,
L14n27313,L14n27313,0,14,True,2,True,-75,
L14n27317,L14n27317,0,14,True,2,True,77,
L14n27343,L14n27343,0,14,True,2,True,-143,
L14n27915,L14n27915,0,14,True,2,True,-91,
L14n28013,L14n28013,0,14,True,2,True,-63,
L14n28016,L14n28016,0,14,True,2,True,-63,
L14n28398,L14n28398,0,14,True,2,True,-119,
L14n28630,L14n28630,0,14,True,2,True,-119,
L14n28631,L14n28631,0,14,True,2,True,-119,
L14n28635,L14n28635,0,14,True,2,True,-119,
L14n28715,L14n28715,0,14,True,2,True,53,
L14n28716,L14n28716,0,14,True,2,True,-51,
L14n28754,L14n28754,0,14,True,2,True,-191,
L14n28936,L14n28936,0,14,True,2,True,-167,
L14n29289,L14n29289,0,14,True,2,True,-351,
L14n29366,L14n29366,0,14,True,2,True,89,
L14n29787,L14n29787,0,14,True,2,True,-115,
L14n29939,L14n29939,0,14,True,2,True,69,
L14n30011,L14n30011,0,14,True,2,True,-191,
L14n30012,L14n30012,0,14,True,2,True,-191,
L14n30020,L14n30020,0,14,True,2,True,-143,
L14n30032,L14n30032,0,14,True,2,True,-143,
L14n30054,L14n30054,0,14,True,2,True,-143,
L14n30097,L14n30097,0,14,True,2,True,-215,
L14n30103,L14n30103,0,14,True,2,True,-215,
L14n30107,L14n30107,0,14,True,2,True,-215,
L14n30108,L14n30108,0,14,True,2,True,-171,
L14n30116,L14n30116,0,14,True,2,True,-191,
L14n30127,L14n30127,0,14,True,2,True,-99,
L14n30128,L14n30128,0,14,True,2,True,-27,
L14n30180,L14n30180,0,14,True,2,True,-71,
L14n30250,L14n30250,0,14,True,2,True,-215,
L14n30442,L14n30442,0,14,True,2,True,-215,
L14n30629,L14n30629,0,14,True,2,True,-103,
L14n30630,L14n30630,0,14,True,2,True,101,
L14n30752,L14n30752,0,14,True,2,True,89,
L14n30753,L14n30753,0,14,True,2,True,-91,
L14n30754,L14n30754,0,14,True,2,True,-87,
L14n30755,L14n30755,0,14,True,2,True,9,
L14n30756,L14n30756,0,14,True,2,True,105,
L14n30779,L14n30779,0,14,True,2,True,53,
L14n30780,L14n30780,0,14,True,2,True,-87,
L14n30781,L14n30781,0,14,True,2,True,-83,
L14n30782,L14n30782,0,14,True,2,True,49,
L14n30783,L14n30783,0,14,True,2,True,-43,
L14n30784,L14n30784,0,14,True,2,True,73,
L14n30785,L14n30785,0,14,True,2,True,-39,
L14n30786,L14n30786,0,14,True,2,True,57,
L14n30788,L14n30788,0,14,True,2,True,77,
L14n30789,L14n30789,0,14,True,2,True,-47,
L14n31090,L14n31090,0,14,True,2,True,257,
L14n31138,L14n31138,0,14,True,2,True,-211,
L14n31149,L14n31149,0,14,True,2,True,101,
L14n31168,L14n31168,0,14,True,2,True,-39,
L14n31181,L14n31181,0,14,True,2,True,-103,
L14n31231,L14n31231,0,14,True,2,True,73,
L14n31232,L14n31232,0,14,True,2,True,-87,
L14n31255,L14n31255,0,14,True,2,True,21,
L14n31264,L14n31264,0,14,True,2,True,-55,
L14n31284,L14n31284,0,14,True,2,True,41,
L14n31288,L14n31288,0,14,True,2,True,-11,
L14n31302,L14n31302,0,14,True,2,True,25,
L14n31315,L14n31315,0,14,True,2,True,57,
L14n31316,L14n31316,0,14,True,2,True,-71,
L14n31329,L14n31329,0,14,True,2,True,-59,
L14n31330,L14n31330,0,14,True,2,True,69,
L14n31371,L14n31371,0,14,True,2,True,89,
L14n31375,L14n31375,0,14,True,2,True,117,
L14n31376,L14n31376,0,14,True,2,True,-107,
L14n31378,L14n31378,0,14,True,2,True,-91,
L14n31381,L14n31381,0,14,True,2,True,89,
L14n31386,L14n31386,0,14,True,2,True,-91,
L14n31394,L14n31394,0,14,True,2,True,133,
L14n31396,L14n31396,0,14,True,2,True,-131,
L14n31585,L14n31585,0,14,True,2,True,-43,
L14n31593,L14n31593,0,14,True,2,True,73,
L14n31598,L14n31598,0,14,True,2,True,-115,
L14n31599,L14n31599,0,14,True,2,True,109,
L14n31601,L14n31601,0,14,True,2,True,77,
L14n31605,L14n31605,0,14,True,2,True,81,
L14n31606,L14n31606,0,14,True,2,True,-79,
L14n31608,L14n31608,0,14,True,2,True,-47,
L14n31612,L14n31612,0,14,True,2,True,-123,
L14n31615,L14n31615,0,14,True,2,True,125,
L14n31886,L14n31886,0,14,True,2,True,61,
L14n31985,L14n31985,0,14,True,2,True,-191,
L14n32037,L14n32037,0,14,True,2,True,-115,
L14n32038,L14n32038,0,14,True,2,True,109,
L14n32145,L14n32145,0,14,True,2,True,-143,
L14n32153,L14n32153,0,14,True,2,True,97,
L14n32154,L14n32154,0,14,True,2,True,-95,
L14n32155,L14n32155,0,14,True,2,True,-91,
L14n32156,L14n32156,0,14,True,2,True,101,
L14n32388,L14n32388,0,14,True,2,True,137,
L14n32416,L14n32416,0,14,True,2,True,-143,
L14n32465,L14n32465,0,14,True,2,True,-143,
L14n32566,L14n32566,0,14,True,2,True,77,
L14n32567,L14n32567,0,14,True,2,True,-83,
L14n32568,L14n32568,0,14,True,2,True,-111,
L14n32569,L14n32569,0,14,True,2,True,113,
L14n32634,L14n32634,0,14,True,2,True,125,
L14n32635,L14n32635,0,14,True,2,True,109,
L14n33194,L14n33194,0,14,True,2,True,-143,
L14n33264,L14n33264,0,14,True,2,True,-127,
L14n33395,L14n33395,0,14,True,2,True,-191,
L14n33400,L14n33400,0,14,True,2,True,-191,
L14n33541,L14n33541,0,14,True,2,True,145,
L14n33764,L14n33764,0,14,True,2,True,-191,
L14n33772,L14n33772,0,14,True,2,True,-191,
L14n33803,L14n33803,0,14,True,2,True,65,
L14n33870,L14n33870,0,14,True,2,True,-143,
L14n34012,L14n34012,0,14,True,2,True,125,
L14n34021,L14n34021,0,14,True,2,True,-83,
L14n34422,L14n34422,0,14,True,2,True,81,
L14n34637,L14n34637,0,14,True,2,True,-191,
L14n34651,L14n34651,0,14,True,2,True,-79,
L14n34747,L14n34747,0,14,True,2,True,189,
L14n34772,L14n34772,0,14,True,2,True,189,
L14n34885,L14n34885,0,14,True,2,True,189,
L14n34897,L14n34897,0,14,True,2,True,189,
L14n36150,L14n36150,0,14,True,2,True,-43,
L14n36151,L14n36151,0,14,True,2,True,53,
L14n36374,L14n36374,0,14,True,2,True,-123,
L14n36378,L14n36378,0,14,True,2,True,125,
L14n36691,L14n36691,0,14,True,2,True,-107,
L14n37006,L14n37006,0,14,True,2,True,-143,
L14n37092,L14n37092,0,14,True,2,True,-143,
L14n37097,L14n37097,0,14,True,2,True,109,
L14n37100,L14n37100,0,14,True,2,True,-79,
L14n37664,L14n37664,0,14,True,2,True,-191,
L14n37692,L14n37692,0,14,True,2,True,-159,
