,name_unoriented,determinant,num_crossings,matrix_zero,components,jones_factorable,jones_determinant,smooth_four_genus,mod8_1
L12n84,L12n84,0,12,True,2,True,-23,,True
L12n399,L12n399,0,12,True,2,True,-71,,True
L12n418,L12n418,0,12,True,2,True,-71,,True
L12n520,L12n520,0,12,True,2,True,-71,,True
L12n529,L12n529,0,12,True,2,True,-71,,True
L12n817,L12n817,0,12,True,2,True,-95,,True
L12n910,L12n910,0,12,True,2,True,-95,,True
L12n1109,L12n1109,0,12,True,2,True,-47,,True
L12n1180,L12n1180,0,12,True,2,True,-63,,True
L12n1181,L12n1181,0,12,True,2,True,-63,,True
L12n1200,L12n1200,0,12,True,2,True,33,,True
L12n1202,L12n1202,0,12,True,2,True,-31,,True
L12n1272,L12n1272,0,12,True,2,True,49,,True
L12n1273,L12n1273,0,12,True,2,True,-47,,True
L12n1299,L12n1299,0,12,True,2,True,-47,,True
L12n1300,L12n1300,0,12,True,2,True,49,,True
L12n1327,L12n1327,0,12,True,2,True,-63,,True
L12n1333,L12n1333,0,12,True,2,True,-71,,True
L12n1375,L12n1375,0,12,True,2,True,-95,,True
L13n118,L13n118,0,13,True,2,True,-23,,True
L13n754,L13n754,0,13,True,2,True,-119,,True
L13n759,L13n759,0,13,True,2,True,-119,,True
L13n760,L13n760,0,13,True,2,True,-119,,True
L13n1091,L13n1091,0,13,True,2,True,-119,,True
L13n1488,L13n1488,0,13,True,2,True,-143,,True
L13n1494,L13n1494,0,13,True,2,True,-143,,True
L13n1704,L13n1704,0,13,True,2,True,-143,,True
L13n1707,L13n1707,0,13,True,2,True,-143,,True
L13n2040,L13n2040,0,13,True,2,True,89,,True
L13n2050,L13n2050,0,13,True,2,True,-87,,True
L13n2150,L13n2150,0,13,True,2,True,89,,True
L13n2151,L13n2151,0,13,True,2,True,-87,,True
L13n2407,L13n2407,0,13,True,2,True,-119,,True
L13n2421,L13n2421,0,13,True,2,True,-87,,True
L13n2430,L13n2430,0,13,True,2,True,-87,,True
L13n3056,L13n3056,0,13,True,2,True,-95,,True
L13n4518,L13n4518,0,13,True,2,True,-23,,True
L13n4524,L13n4524,0,13,True,2,True,9,,True
L13n4821,L13n4821,0,13,True,2,True,-95,,True
L13n4999,L13n4999,0,13,True,2,True,-39,,True
L13n5154,L13n5154,0,13,True,2,True,25,,True
L13n5255,L13n5255,0,13,True,2,True,-55,,True
L13n5341,L13n5341,0,13,True,2,True,81,,True
L13n5365,L13n5365,0,13,True,2,True,41,,True
L13n5639,L13n5639,0,13,True,2,True,65,,True
L13n5689,L13n5689,0,13,True,2,True,-63,,True
L13n5772,L13n5772,0,13,True,2,True,81,,True
L13n5773,L13n5773,0,13,True,2,True,-79,,True
L13n6360,L13n6360,0,13,True,2,True,-63,,True
L13n6535,L13n6535,0,13,True,2,True,97,,True
L13n6537,L13n6537,0,13,True,2,True,-95,,True
L14n756,L14n756,0,14,True,2,True,-71,,True
L14n1004,L14n1004,0,14,True,2,True,-23,,True
L14n1449,L14n1449,0,14,True,2,True,-71,,True
L14n1639,L14n1639,0,14,True,2,True,-71,,True
L14n6154,L14n6154,0,14,True,2,True,-239,,True
L14n6168,L14n6168,0,14,True,2,True,-71,,True
L14n6558,L14n6558,0,14,True,2,True,-167,,True
L14n6620,L14n6620,0,14,True,2,True,-95,,True
L14n6789,L14n6789,0,14,True,2,True,-95,,True
L14n6832,L14n6832,0,14,True,2,True,-71,,True
L14n7118,L14n7118,0,14,True,2,True,-239,,True
L14n7191,L14n7191,0,14,True,2,True,161,,True
L14n7239,L14n7239,0,14,True,2,True,-143,,True
L14n7360,L14n7360,0,14,True,2,True,-71,,True
L14n7392,L14n7392,0,14,True,2,True,-143,,True
L14n7407,L14n7407,0,14,True,2,True,-239,,True
L14n7993,L14n7993,0,14,True,2,True,161,,True
L14n8002,L14n8002,0,14,True,2,True,161,,True
L14n8183,L14n8183,0,14,True,2,True,-239,,True
L14n8458,L14n8458,0,14,True,2,True,161,,True
L14n8537,L14n8537,0,14,True,2,True,-143,,True
L14n8543,L14n8543,0,14,True,2,True,-239,,True
L14n8736,L14n8736,0,14,True,2,True,-143,,True
L14n8793,L14n8793,0,14,True,2,True,-239,,True
L14n8803,L14n8803,0,14,True,2,True,-167,,True
L14n8810,L14n8810,0,14,True,2,True,1,,True
L14n8835,L14n8835,0,14,True,2,True,-239,,True
L14n9080,L14n9080,0,14,True,2,True,-207,,True
L14n9085,L14n9085,0,14,True,2,True,161,,True
L14n9115,L14n9115,0,14,True,2,True,-207,,True
L14n9117,L14n9117,0,14,True,2,True,161,,True
