name_unoriented,determinant,num_crossings,matrix_zero,components,jones_factorable,jones_determinant
L12n84,0,12,True,2,,
L12n399,0,12,True,2,,
L12n418,0,12,True,2,,
L12n467,0,12,True,2,,
L12n508,0,12,True,2,,
L12n520,0,12,True,2,,
L12n529,0,12,True,2,,
L12n544,0,12,True,2,,
L12n545,0,12,True,2,,
L12n564,0,12,True,2,,
L12n817,0,12,True,2,,
L12n910,0,12,True,2,,
L12n1040,0,12,True,2,,
L12n1095,0,12,True,2,,
L12n1109,0,12,True,2,,
L12n1180,0,12,True,2,,
L12n1181,0,12,True,2,,
L12n1199,0,12,True,2,,
L12n1200,0,12,True,2,,
L12n1201,0,12,True,2,,
L12n1202,0,12,True,2,,
L12n1242,0,12,True,2,,
L12n1249,0,12,True,2,,
L12n1252,0,12,True,2,,
L12n1257,0,12,True,2,,
L12n1272,0,12,True,2,,
L12n1273,0,12,True,2,,
L12n1299,0,12,True,2,,
L12n1300,0,12,True,2,,
L12n1327,0,12,True,2,,
L12n1333,0,12,True,2,,
L12n1375,0,12,True,2,,
L12n1755,0,12,True,3,,
L12n1809,0,12,True,3,,
L12n1829,0,12,True,3,,
L12n1847,0,12,True,3,,
L12n1868,0,12,True,3,,
L12n1870,0,12,True,3,,
L12n1933,0,12,True,3,,
L13n118,0,13,True,2,,
L13n754,0,13,True,2,,
L13n759,0,13,True,2,,
L13n760,0,13,True,2,,
L13n1091,0,13,True,2,,
L13n1488,0,13,True,2,,
L13n1494,0,13,True,2,,
L13n1627,0,13,True,2,,
L13n1704,0,13,True,2,,
L13n1707,0,13,True,2,,
L13n1806,0,13,True,2,,
L13n1999,0,13,True,2,,
L13n2010,0,13,True,2,,
L13n2040,0,13,True,2,,
L13n2050,0,13,True,2,,
L13n2061,0,13,True,2,,
L13n2150,0,13,True,2,,
L13n2151,0,13,True,2,,
L13n2360,0,13,True,2,,
L13n2407,0,13,True,2,,
L13n2421,0,13,True,2,,
L13n2430,0,13,True,2,,
L13n2490,0,13,True,2,,
L13n2538,0,13,True,2,,
L13n3056,0,13,True,2,,
L13n4518,0,13,True,2,,
L13n4524,0,13,True,2,,
L13n4821,0,13,True,2,,
L13n4994,0,13,True,2,,
L13n4999,0,13,True,2,,
L13n5076,0,13,True,2,,
L13n5153,0,13,True,2,,
L13n5154,0,13,True,2,,
L13n5227,0,13,True,2,,
L13n5255,0,13,True,2,,
L13n5314,0,13,True,2,,
L13n5341,0,13,True,2,,
L13n5365,0,13,True,2,,
L13n5426,0,13,True,2,,
L13n5427,0,13,True,2,,
L13n5443,0,13,True,2,,
L13n5444,0,13,True,2,,
L13n5538,0,13,True,2,,
L13n5556,0,13,True,2,,
L13n5584,0,13,True,2,,
L13n5588,0,13,True,2,,
L13n5616,0,13,True,2,,
L13n5626,0,13,True,2,,
L13n5630,0,13,True,2,,
L13n5631,0,13,True,2,,
L13n5633,0,13,True,2,,
L13n5636,0,13,True,2,,
L13n5639,0,13,True,2,,
L13n5686,0,13,True,2,,
L13n5689,0,13,True,2,,
L13n5772,0,13,True,2,,
L13n5773,0,13,True,2,,
L13n6355,0,13,True,2,,
L13n6360,0,13,True,2,,
L13n6376,0,13,True,2,,
L13n6378,0,13,True,2,,
L13n6435,0,13,True,2,,
L13n6535,0,13,True,2,,
L13n6537,0,13,True,2,,
L13n8294,0,13,True,3,,
L13n8382,0,13,True,3,,
L13n8396,0,13,True,3,,
L13n8458,0,13,True,3,,
L13n8469,0,13,True,3,,
L13n8474,0,13,True,3,,
L13n8914,0,13,True,3,,
L13n8956,0,13,True,3,,
L13n8981,0,13,True,3,,
L13n8988,0,13,True,3,,
L13n9022,0,13,True,3,,
L13n9067,0,13,True,3,,
L13n9070,0,13,True,3,,
L13n9073,0,13,True,3,,
L13n9189,0,13,True,3,,
L13n9193,0,13,True,3,,
L13n9194,0,13,True,3,,
L13n9198,0,13,True,3,,
L13n9264,0,13,True,3,,
L13n9266,0,13,True,3,,
L13n9268,0,13,True,3,,
L13n9270,0,13,True,3,,
L13n9641,0,13,True,3,,
L13n9655,0,13,True,3,,
L13n9662,0,13,True,3,,
L13n10941,0,13,True,4,,
L13n10965,0,13,True,4,,
L13n11253,0,13,True,4,,
L13n11254,0,13,True,4,,
L13n11256,0,13,True,4,,
L13n11260,0,13,True,4,,
L13n11263,0,13,True,4,,
L13n11269,0,13,True,4,,
L14n435,0,14,True,2,,
L14n436,0,14,True,2,,
L14n702,0,14,True,2,,
L14n756,0,14,True,2,,
L14n771,0,14,True,2,,
L14n1004,0,14,True,2,,
L14n1449,0,14,True,2,,
L14n1619,0,14,True,2,,
L14n1621,0,14,True,2,,
L14n1639,0,14,True,2,,
L14n6154,0,14,True,2,,
L14n6168,0,14,True,2,,
L14n6507,0,14,True,2,,
L14n6558,0,14,True,2,,
L14n6620,0,14,True,2,,
L14n6789,0,14,True,2,,
L14n6832,0,14,True,2,,
L14n6985,0,14,True,2,,
L14n7118,0,14,True,2,,
L14n7191,0,14,True,2,,
L14n7239,0,14,True,2,,
L14n7259,0,14,True,2,,
L14n7360,0,14,True,2,,
L14n7392,0,14,True,2,,
L14n7407,0,14,True,2,,
L14n7993,0,14,True,2,,
L14n7998,0,14,True,2,,
L14n8002,0,14,True,2,,
L14n8183,0,14,True,2,,
L14n8455,0,14,True,2,,
L14n8458,0,14,True,2,,
L14n8537,0,14,True,2,,
L14n8543,0,14,True,2,,
L14n8637,0,14,True,2,,
L14n8692,0,14,True,2,,
L14n8736,0,14,True,2,,
L14n8789,0,14,True,2,,
L14n8793,0,14,True,2,,
L14n8803,0,14,True,2,,
L14n8810,0,14,True,2,,
L14n8835,0,14,True,2,,
L14n9056,0,14,True,2,,
L14n9059,0,14,True,2,,
L14n9080,0,14,True,2,,
L14n9085,0,14,True,2,,
L14n9115,0,14,True,2,,
L14n9117,0,14,True,2,,
L14n9123,0,14,True,2,,
L14n9128,0,14,True,2,,
L14n9145,0,14,True,2,,
L14n9152,0,14,True,2,,
L14n9156,0,14,True,2,,
L14n9177,0,14,True,2,,
L14n9268,0,14,True,2,,
L14n9282,0,14,True,2,,
L14n9290,0,14,True,2,,
L14n9333,0,14,True,2,,
L14n9390,0,14,True,2,,
L14n9415,0,14,True,2,,
L14n9416,0,14,True,2,,
L14n9446,0,14,True,2,,
L14n9635,0,14,True,2,,
L14n9752,0,14,True,2,,
L14n9876,0,14,True,2,,
L14n9883,0,14,True,2,,
L14n10047,0,14,True,2,,
L14n10048,0,14,True,2,,
L14n10052,0,14,True,2,,
L14n10053,0,14,True,2,,
L14n10461,0,14,True,2,,
L14n11107,0,14,True,2,,
L14n11214,0,14,True,2,,
L14n11315,0,14,True,2,,
L14n11478,0,14,True,2,,
L14n11479,0,14,True,2,,
L14n11488,0,14,True,2,,
L14n11489,0,14,True,2,,
L14n11685,0,14,True,2,,
L14n11785,0,14,True,2,,
L14n11815,0,14,True,2,,
L14n11816,0,14,True,2,,
L14n11817,0,14,True,2,,
L14n11855,0,14,True,2,,
L14n11991,0,14,True,2,,
L14n12024,0,14,True,2,,
L14n12116,0,14,True,2,,
L14n12131,0,14,True,2,,
L14n12145,0,14,True,2,,
L14n12364,0,14,True,2,,
L14n12414,0,14,True,2,,
L14n12504,0,14,True,2,,
L14n12538,0,14,True,2,,
L14n12562,0,14,True,2,,
L14n12589,0,14,True,2,,
L14n12598,0,14,True,2,,
L14n12612,0,14,True,2,,
L14n12691,0,14,True,2,,
L14n12729,0,14,True,2,,
L14n12796,0,14,True,2,,
L14n12805,0,14,True,2,,
L14n12876,0,14,True,2,,
L14n12883,0,14,True,2,,
L14n17869,0,14,True,2,,
L14n18026,0,14,True,2,,
L14n19768,0,14,True,2,,
L14n23729,0,14,True,2,,
L14n23784,0,14,True,2,,
L14n24046,0,14,True,2,,
L14n24426,0,14,True,2,,
L14n24427,0,14,True,2,,
L14n24461,0,14,True,2,,
L14n24652,0,14,True,2,,
L14n24914,0,14,True,2,,
L14n24991,0,14,True,2,,
L14n24998,0,14,True,2,,
L14n25064,0,14,True,2,,
L14n25069,0,14,True,2,,
L14n25100,0,14,True,2,,
L14n25175,0,14,True,2,,
L14n25286,0,14,True,2,,
L14n26023,0,14,True,2,,
L14n26057,0,14,True,2,,
L14n26105,0,14,True,2,,
L14n26107,0,14,True,2,,
L14n26149,0,14,True,2,,
