,name_unoriented,linking_matrix,components,determinant,matrix_zero,determinant_is_zero,smooth_four_genus,matrix_and_determinant_both_zero,jones_factorable,jones_determinant
0,L9n27,"{{0, 0, 0}, {0, 0, 0}, {0, 0, 0}}",3,0,True,True,0,True,False,
1,L10n32,"{{0, 0}, {0, 0}}",2,0,True,True,0,True,True,-23
2,L10n36,"{{0, 0}, {0, 0}}",2,0,True,True,0,True,True,-23
3,L10n56,"{{0, 0}, {0, 0}}",2,0,True,True,1,True,True,17
4,L10n57,"{{0, 0}, {0, 0}}",2,0,True,True,0,True,True,-15
5,L10n59,"{{0, 0}, {0, 0}}",2,0,True,True,0,True,True,-23
6,L10n107,"{{0, 0, 0, 0}, {0, 0, 0, 0}, {0, 0, 0, 0}, {0, 0, 0, 0}}",4,0,True,True,0,True,False,
7,L11n218,"{{0, 0}, {0, 0}}",2,0,True,True,1,True,True,-19
8,L11n226,"{{0, 0}, {0, 0}}",2,0,True,True,1,True,True,13
9,L11n244,"{{0, 0}, {0, 0}}",2,0,True,True,1,True,True,33
10,L11n247,"{{0, 0}, {0, 0}}",2,0,True,True,"[0,1]",True,True,-31
11,L11n381,"{{0, 0, 0}, {0, 0, 0}, {0, 0, 0}}",3,0,True,True,1,True,False,
12,L11n396,"{{0, 0, 0}, {0, 0, 0}, {0, 0, 0}}",3,0,True,True,0,True,False,
13,L11n404,"{{0, 0, 0}, {0, 0, 0}, {0, 0, 0}}",3,0,True,True,1,True,False,
14,L11n406,"{{0, 0, 0}, {0, 0, 0}, {0, 0, 0}}",3,0,True,True,0,True,False,
15,L11n436,"{{0, 0, 0}, {0, 0, 0}, {0, 0, 0}}",3,0,True,True,0,True,False,
