,name_unoriented,matrix_zero,components,jones_factorable,jones_determinant,smooth_four_genus
L10n32,L10n32,True,2,True,-23,
L10n36,L10n36,True,2,True,-23,
L10n56,L10n56,True,2,True,17,
L10n57,L10n57,True,2,True,-15,
L10n59,L10n59,True,2,True,-23,
L11n218,L11n218,True,2,True,-19,
L11n226,L11n226,True,2,True,13,
L11n244,L11n244,True,2,True,33,
L11n247,L11n247,True,2,True,-31,
L12n84,L12n84,True,2,True,-23,
L12n399,L12n399,True,2,True,-71,
L12n418,L12n418,True,2,True,-71,
L12n467,L12n467,True,2,True,69,
L12n508,L12n508,True,2,True,69,
L12n520,L12n520,True,2,True,-71,
L12n529,L12n529,True,2,True,-71,
L12n544,L12n544,True,2,True,-43,
L12n545,L12n545,True,2,True,45,
L12n564,L12n564,True,2,True,45,
L12n817,L12n817,True,2,True,-95,
L12n910,L12n910,True,2,True,-95,
L12n1040,L12n1040,True,2,True,21,
L12n1095,L12n1095,True,2,True,-11,
L12n1109,L12n1109,True,2,True,-47,
L12n1180,L12n1180,True,2,True,-63,
L12n1181,L12n1181,True,2,True,-63,
L12n1199,L12n1199,True,2,True,-35,
L12n1200,L12n1200,True,2,True,33,
L12n1201,L12n1201,True,2,True,29,
L12n1202,L12n1202,True,2,True,-31,
L12n1242,L12n1242,True,2,True,-35,
L12n1249,L12n1249,True,2,True,-19,
L12n1252,L12n1252,True,2,True,13,
L12n1257,L12n1257,True,2,True,29,
L12n1272,L12n1272,True,2,True,49,
L12n1273,L12n1273,True,2,True,-47,
L12n1299,L12n1299,True,2,True,-47,
L12n1300,L12n1300,True,2,True,49,
L12n1327,L12n1327,True,2,True,-63,
L12n1333,L12n1333,True,2,True,-71,
L12n1375,L12n1375,True,2,True,-95,
L13n118,L13n118,True,2,True,-23,
L13n754,L13n754,True,2,True,-119,
L13n759,L13n759,True,2,True,-119,
L13n760,L13n760,True,2,True,-119,
L13n1091,L13n1091,True,2,True,-119,
L13n1488,L13n1488,True,2,True,-143,
L13n1494,L13n1494,True,2,True,-143,
L13n1627,L13n1627,True,2,True,-115,
L13n1704,L13n1704,True,2,True,-143,
L13n1707,L13n1707,True,2,True,-143,
L13n1806,L13n1806,True,2,True,-115,
L13n1999,L13n1999,True,2,True,-115,
L13n2010,L13n2010,True,2,True,-115,
L13n2040,L13n2040,True,2,True,89,
L13n2050,L13n2050,True,2,True,-87,
L13n2061,L13n2061,True,2,True,117,
L13n2150,L13n2150,True,2,True,89,
L13n2151,L13n2151,True,2,True,-87,
L13n2360,L13n2360,True,2,True,117,
L13n2407,L13n2407,True,2,True,-119,
L13n2421,L13n2421,True,2,True,-87,
L13n2430,L13n2430,True,2,True,-87,
L13n2490,L13n2490,True,2,True,117,
L13n2538,L13n2538,True,2,True,-163,
L13n3056,L13n3056,True,2,True,-95,
L13n4518,L13n4518,True,2,True,-23,
L13n4524,L13n4524,True,2,True,9,
L13n4821,L13n4821,True,2,True,-95,
L13n4994,L13n4994,True,2,True,37,
L13n4999,L13n4999,True,2,True,-39,
L13n5076,L13n5076,True,2,True,53,
L13n5153,L13n5153,True,2,True,-27,
L13n5154,L13n5154,True,2,True,25,
L13n5227,L13n5227,True,2,True,-115,
L13n5255,L13n5255,True,2,True,-55,
L13n5314,L13n5314,True,2,True,-43,
L13n5341,L13n5341,True,2,True,81,
L13n5365,L13n5365,True,2,True,41,
L13n5426,L13n5426,True,2,True,69,
L13n5427,L13n5427,True,2,True,-67,
